Name,Address,City,Type,Submitted Amount,Allowed Amount,Medicare Payment Amount
"WILLERSON, WILLIAM D",303 E QUINCY ST SUITE 100,SAN ANTONIO,Ophthalmology,3318023,1085488.69,844676.82
"AMEDURI, ARDOW R",4383 MEDICAL DRIVE ,SAN ANTONIO,Radiation Oncology,4672147.53,1059870.99,843347.66
"SHRINER, DAVID L",18540 SIGMA RD. ,SAN ANTONIO,Dermatology,1850410,1073358.16,840940.29
THE OCULAR SURGERY CENTER,1100 N MAIN AVE ,SAN ANTONIO,Ambulatory Surgical Center,2029306,1060656.98,833699.91
"RICHMOND, CLIFF M",2728 BABCOCK ROAD PATH DEPT,SAN ANTONIO,Pathology,2291725,1062543.19,833128.41
"AVILA, FERNANDO T",700 S SAINT MARYS ST ,SAN ANTONIO,Anesthesiology,2452753.83,1062651.37,829273.59
"JAFFAR, ZULFAQQAR M",7718 LOUIS PASTEUR CT STE. 101,SAN ANTONIO,Medical Oncology,2205856,1040504.97,825730.46
"SOUTH TEXAS AMBULATORY SURGERY CENTER, PLLC",9238 FLOYD CURL DR ,SAN ANTONIO,Ambulatory Surgical Center,4712332.05,1021035.91,813179.41
"LANG, AMY S",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,3173856.82,1071888.45,810901.49
"DRIVER, MALVIN C",414 NAVARRO ST 400,SAN ANTONIO,Ophthalmology,1093202.32,1045488.78,800900.43
"DAHIYA, RAJIV S",215 E QUINCY ST STE. B100,SAN ANTONIO,Radiation Oncology,2227049,992335.6,791908.79
"KEMPF, KEVIN J",19272 STONE OAK PKWY STE 101,SAN ANTONIO,Rheumatology,1894287.67,975172.68,771364.49
"NARAYAN, RAJEEV",102 PALO ALTO RD STE 200,SAN ANTONIO,Nephrology,3665793.2,977358.04,765829.13
"DHAM, ANU",1200 BROOKLYN AVE SUITE #115,SAN ANTONIO,Hematology/Oncology,3469480,945741.64,760929.09
"GUNUGANTI, VIJAY K",540 MADISON OAK DR #200,SAN ANTONIO,Medical Oncology,3862036,948679.06,754715.58
"DUNCAN, ELLEN B",18707 HARDY OAK BLVD SUITE 105,SAN ANTONIO,Anesthesiology,3375915.5,961507.28,754399.56
"THOMPSON, GREGORY W",14615 SAN PEDRO 200,SAN ANTONIO,Dermatology,1166730,988538.16,754093.07
"FLYNN, WILLIAM J",5430 FREDERICKSBURG RD SUITE 100,SAN ANTONIO,Ophthalmology,1769425,1008504.08,752300.53
"STEVENS, CHARLES S",1122 AUSTIN HWY ,SAN ANTONIO,Pathology,2448497,992375.45,747476.84
"SEAWORTH, JOHN F",1933 NE LOOP 410 ,SAN ANTONIO,Cardiology,3460235.33,962968.56,746262.89
"HOLAHAN, JOSEPH R",4383 MEDICAL DR ,SAN ANTONIO,Hematology,2855808.98,955173.36,744197.62
"LIN, BRYAN C",4411 MEDICAL DR SUITE 100,SAN ANTONIO,Radiation Oncology,4347132.46,941799.01,742085.39
"RUGH, KENNETH S",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,3153858.32,934114.35,741844.39
"ALAMO MOBILE X RAY & EKG SERVICES, INC.",4400 PIEDRAS DR S STE 140,SAN ANTONIO,Portable X-ray,1099660.32,901852.91,720031.58
"PINEDA, EMILY R",5414 FREDERICKSBURG RD STE 150 ,SAN ANTONIO,Rheumatology,1889508.73,942858.16,715227.98
"FEINSTEIN, JEFFREY A",8527 VILLAGE DR. #103,SAN ANTONIO,Rheumatology,2158060.01,911351.23,715051.98
"ROSENBERG, GERALD T",4511 HORIZON HILL BLVD SUITE 150,SAN ANTONIO,Rheumatology,1973866.04,919180.35,714728.23
"WILKS, SHARON T",2130 N.E.LOOP 410 SUITE #100,SAN ANTONIO,Hematology/Oncology,3604537,886768.88,710804.55
"CLEMENT, JOHN P",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,3176359.53,896851.57,706539.4
"ALSABROOK, GRADY D",8811 VILLAGE DR SUITE 150,SAN ANTONIO,Vascular Surgery,2993681,884868.58,699095.7
"KRUGER, ARIEL Y",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,3238955.64,882813.35,698131.49
"SAN ANTONIO ENDOSCOPY, LP",8550 DATAPOINT DRIVE SUITE 100,SAN ANTONIO,Ambulatory Surgical Center,12070173,893742.52,694950.17
"CHICA, GERARDO",2391 NE LOOP 410 STE 405,SAN ANTONIO,Nephrology,3089472,876489.6,689937.29
"WOOD, DAVID R",4411 E SOUTHCROSS BLVD ,SAN ANTONIO,Internal Medicine,1265867.86,802222.66,688252.1
"FOX, DAVID L",12709 TOEPPERWEIN RD STE 101,LIVE OAK,Orthopedic Surgery,2574550.88,841822.31,687114.65
"DAVIS, THOMAS L",1122 AUSTIN HWY ,SAN ANTONIO,Pathology,2223016.76,903180.06,681748.62
HEALTHTRONICS LABORATORY SOLUTIONS LLC,7909 FREDERICKSBURG RD SUITE 233,SAN ANTONIO,Clinical Laboratory,2583186,866474.58,680744.62
"BRAVERMAN, SHELDON P",1100 N MAIN AVE ,SAN ANTONIO,Ophthalmology,1982097,876134.09,671730.09
"MENICK, BARRY J",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,3532686.5,848926.95,667852.47
"ORSI, MICHAEL D",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,3196547.99,848858.39,664725.67
"SCALES, DAVID K",9623 HUEBNER RD SUITE 100,SAN ANTONIO,Ophthalmology,1052996.47,844854.86,663308.2
"UNITED AMBULANCE ,LLC",5503 GRISSOM RD STE 156 ,SAN ANTONIO,Ambulance Service Supplier,1802597.5,832130.05,661768.83
"COHEN, STEPHEN C",2130 N.E.LOOP 410 SUITE #250,SAN ANTONIO,Hematology/Oncology,1469558.41,792748.95,658654.5
"LIBOW, LESTER F",1122 AUSTIN HWY ,SAN ANTONIO,Pathology,2120936.8,865496.64,656186.82
"ALLEN, EVERETT H",19272 STONE OAK PKWY STE 101,SAN ANTONIO,Rheumatology,1597950.17,835120.65,650573.43
"FRIEDMAN, DAVID J",4411 MEDICAL DR ,SAN ANTONIO,Hematology/Oncology,2685175,817478.32,649976.67
"TIBBETTS, TODD A",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,3063683.98,825246.13,649918.59
"GORDON, DAVID H",540 MADISON OAK DR SUITE#200,SAN ANTONIO,Hematology/Oncology,2851893,815725.43,646697.76
"O'QUINN, RYAN P",9238 FLOYD CURL DR SUITE 101,SAN ANTONIO,Dermatology,2038925,817262.56,644226.85
"VOGEL, PAULA S",2632 BROADWAY ST SUITE 401N,SAN ANTONIO,Dermatology,2428965,828682,641048.68
"ZUBYK, SYLVIA",4383 MEDICAL DR ,SAN ANTONIO,Radiation Oncology,3399817.73,805718.53,639718.8
SAN ANTONIO TX ENDOSCOPY ASC LP,150 E SONTERRA BLVD SUITE 110,SAN ANTONIO,Ambulatory Surgical Center,3956400,780574.75,637535.21
"STOKES, JOHN P",1100 N MAIN AVE ,SAN ANTONIO,Ophthalmology,2039978,822198.33,637084.61
"ALVAREZ, JORGE A",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiology,2199395.5,817292.26,634986.13
"WILLIAMS, JAMES E",3103 SE MILITARY DR SUITE 105,SAN ANTONIO,Family Practice,1777731.81,808753.31,633616.28
"BARIBEAU, ALAN D",7830 LOUIS PASTEUR ,SAN ANTONIO,Ophthalmology,1789283,825773.78,625432.64
"ANDERSEN, GARRETT K",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,2848464.99,778355.86,612336.66
"REYES, GUILLERMO A",2833 BABCOCK RD SUITE 210,SAN ANTONIO,Cardiology,1742013.83,775339.45,610086.36
"GAROUTTE, MAX G",1003 NE LOOP 410 ,SAN ANTONIO,Cardiology,2849587.1,784442.16,609038.64
"SCHAEFER, MATTHEW E",1008 BROOKLYN AVE ,SAN ANTONIO,Nephrology,2741965.4,769013.79,604575.14
"TAMIRISA, SRINATH K",315 N SAN SABA SUITE 102,SAN ANTONIO,Nephrology,1215925.81,757731.4,603431.23
"LANE, MICHAEL J",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,2831138.53,762839.5,602574.59
"SEPULVEDA, PEDRO",910 SAN PEDRO AVE ,SAN ANTONIO,Pulmonary Disease,1627755,765706.18,602436.58
"GUZLEY, GREGORY J",4411 MEDICAL DR ,SAN ANTONIO,Hematology/Oncology,2426358,757705.84,601645.13
"RODRIGUEZ, LUIS C",315 N SAN SABA SUITE 1160,SAN ANTONIO,Medical Oncology,2224638.27,743554.98,596061.8
"AUBER, ANDREW E",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,3087619.21,751230.28,588741.14
"NORTH CENTRAL METHODIST ASC, LP",19010 STONE OAK PKWY ,SAN ANTONIO,Ambulatory Surgical Center,6252618,741143.19,585422.37
"WHITNEY, EDWIN J",1933 NE LOOP 410 ,SAN ANTONIO,Cardiology,3594256.34,748965.99,576923.51
"WIESENTHAL, MARTIN J",8038 WURZBACH RD SUITE 320,SAN ANTONIO,Internal Medicine,1081846,739149.02,571931.67
"MACHELL, CHARLES H",6800 IH 10 W STE 350,SAN ANTONIO,Cardiology,2490449.94,744749.83,568155.45
"JOHNSON, DAVID G",311 W ROSEWOOD AVE ,SAN ANTONIO,Psychiatry,1368930,859027.98,562584.77
METHODIST MEDICAL CENTER ASC LP,4411 MEDICAL DR ,SAN ANTONIO,Ambulatory Surgical Center,5944623.2,707637.63,561050.02
"RODRIGUEZ, EVA L",5504 BANDERA RD 610,SAN ANTONIO,Ambulance Service Supplier,1493640.8,700177.81,560132.3
"TERRY, STUART A",1100 N MAIN AVE ,SAN ANTONIO,Ophthalmology,2398941,724621.23,553285.02
"GOEI, ANTHONY D",18814 CANOE BRK ,SAN ANTONIO,Interventional Radiology,2082548,695036.7,550252.46
"GODWIN, GREGORY",7220 LOUIS PASTEUR STE #115,SAN ANTONIO,Diagnostic Radiology,3422593,708995.46,549737.72
"EHSAN, AAMIR",2020 BABCOCK RD STE 30,SAN ANTONIO,Pathology,1370226.65,670681.44,548060.22
"KARASEK, DENNIS E",3603 PAESANOS PKWY SUITE 100,SAN ANTONIO,Interventional Pain Management,1606676.6,697895.65,547771.21
"SMITH, LON S",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,2124929.65,682329.83,546954.38
"AKHRASS, FIRAS",5107 MEDICAL DRIVE ,SAN ANTONIO,Endocrinology,1621433.4,657004.63,546657.71
"LIU, JEAN H",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiology,1881839.4,721591.81,545667.43
"HEDGEPETH, JAMES D",11481 TOEPPERWEIN RD SUITE 1201,LIVE OAK,Physical Therapist,935374.91,695614.83,539097.21
"MAVERICK, KENNETH J",4775 HAMILTON WOLFE RD BUILDING 2,SAN ANTONIO,Ophthalmology,965670,709152.54,538920.46
"TISDALL, WILLIAM A",3903 WISEMAN BLVD SUITE 206,SAN ANTONIO,Interventional Pain Management,2409098.81,702612.9,537495.94
"BELL, RANDALL C",4410 MEDICAL DR SUITE 440,SAN ANTONIO,Pulmonary Disease,1345423,692543.6,536575.46
"ROMAN-GONZALEZ, JAVIER",6800 W IH 10 SUITE 350,SAN ANTONIO,Cardiology,2137641,692469.09,535368.48
"SANDOVAL, KENNETH A",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,1849320.2,624160.64,529052.32
"SCHWARTZ, SHERWYN L",5107 MEDICAL DRIVE ,SAN ANTONIO,Endocrinology,1645131,637244.04,527271.47
"JAYARAM, KIRAN N",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiac Electrophysiology,1969701.9,685529.96,524651.1
"MIRA, JOAQUIN G",4383 MEDICAL DR ,SAN ANTONIO,Radiation Oncology,2686030,659588.2,522955.38
"WICKERSHAM, PENDLETON B",4511 HORIZON HILL BLVD SUITE 150,SAN ANTONIO,Rheumatology,1371770.05,669789.22,516516.03
"SANTIAGO, MANUEL A",4411 MEDICAL DR SUITE 100,SAN ANTONIO,Hematology/Oncology,2220192,642340.71,511755.7
"DAR, URFAN A",110 STONE OAK LOOP SUITE 103,SAN ANTONIO,Interventional Pain Management,4336799,659203.42,504428.32
"CLELAND, TIMOTHY P",9910 HUEBNER RD ,SAN ANTONIO,Ophthalmology,1817068,664499.21,502510.14
"PULICICCHIO, LOUIS",7500 BARLITE BLVD SUITE 313,SAN ANTONIO,Family Practice,1319733,627000.73,502059.34
"WHITE, WILLIAM W",19016 STONE OAK PKWY STE 100,SAN ANTONIO,Rheumatology,1525503.22,649303.49,501271.71
"CAMPAGNA, JOHN A",414 NAVARRO ST SUITE 400,SAN ANTONIO,Ophthalmology,700758.74,675918.59,496898.12
"ROMAN, CARLOS A",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiac Electrophysiology,1857687.5,641445.76,493627.55
"VARDIMAN, ARNOLD B",4410 MEDICAL DR SUITE 610,SAN ANTONIO,Neurosurgery,2753970,624234.5,489630.33
"MAGNON, ROBERT J",1303 MCCULLOUGH AVE SUITE 525,SAN ANTONIO,Dermatology,730387.91,693905.68,488543.39
"HERNANDEZ III, RAYMOND H",19292 STONE OAK PKWY ,SAN ANTONIO,Ophthalmology,1293170,646566.53,487905.54
"HEALY, MARK E",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,2193203.36,600489.44,486753.54
"DUTTA, SURSEH V",9102 FLOYD CURL DR SUITE D3,SAN ANTONIO,Radiation Oncology,2484120,619015.37,481261.51
"TRIGOSO, WILLIAM F",5107 MEDICAL DRIVE ,SAN ANTONIO,Endocrinology,1545130,582583.5,480999.23
CHRISTUS SANTA ROSA PASC-SAN ANTONIO LLC,502 MADISON OAK DR SUITE 500,SAN ANTONIO,Ambulatory Surgical Center,3217189,603920.32,476750.78
"VILLASENOR, HECTOR R",401 N SAN SABA ST ,SAN ANTONIO,Cardiology,1747643.84,632054.19,473486.25
"MALIK, AAMIR S",730 N MAIN STE 321,SAN ANTONIO,Pulmonary Disease,688432,590358.31,471559.85
"DE LA CHAPA, JORGE A",9157 HUEBNER RD ,SAN ANTONIO,Ophthalmology,1823815,637680.52,468394.16
"SWART, JENNIFER E",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,2401869.33,597956.7,465773.34
"LEHMANN, JAMES D",4775 HAMILTON WOLFE RD STE 2 ,SAN ANTONIO,Ophthalmology,834810,611581.15,465539.22
UTHSCSA MSP PATHOLOGY,7703 FLOYD CURL MAIL CODE 7977,SAN ANTONIO,Clinical Laboratory,1250543,534724.66,464547.54
"MACDONALD, JAMES C",7940 FLOYD CURL DR SUITE 820,SAN ANTONIO,Ophthalmology,2154103,614303.05,463458.29
"RABINOWITZ, ABRAM C",6800 W IH 10 SUITE 350,SAN ANTONIO,Cardiology,1668952.71,592614.86,461589.88
"LIMMER, BYRON L",14615 SAN PEDRO AVE SUITE 120,SAN ANTONIO,Dermatology,801868.91,599281.05,458175.18
CHRISTUS SANTA ROSA PASC-SAN ANTONIO LLC,7902 EWING HALSELL ,SAN ANTONIO,Ambulatory Surgical Center,3689185,585049.99,457154.57
NURSE MANAGEMENT EMS,9833 SCENIC HILLS DR ,SAN ANTONIO,Ambulance Service Supplier,1183032.5,572039.69,456768.69
"BOYS, GREGORY J",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,2357812.5,578886.11,454596.24
CITY OF SCHERTZ CITY HALL,1400 SCHERTZ PKWY BLDG 7,SCHERTZ,Ambulance Service Supplier,1541931,572677.42,453836.1
"STONE OAK SURGERY CENTER, LLC",123 N LOOP 1604 E SUITE 107,SAN ANTONIO,Ambulatory Surgical Center,9896280.48,569206.37,453120.84
"BEERAM, MURALIDHAR",4383 MEDICAL DR ,SAN ANTONIO,Medical Oncology,1689826.43,559845.7,452123.8
"HARRINGTON, GERALD R",8038 WURZBACH RD SUITE 340,SAN ANTONIO,Internal Medicine,600029.55,594332.41,448927.27
"WELCH, MICHELLE D",525 OAK CENTRE DR SUITE 320,SAN ANTONIO,Endocrinology,859205,532254.1,447944.01
"BLANCO, ERNESTO",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,2089948.55,559093.05,447584.63
"LIN, ELLEN W",21 SPURS LANE SUITE 240,SAN ANTONIO,Interventional Pain Management,1529823.75,561605.75,443554.14
"KUMAR, SANJIV",1202 E SONTERRA BLVD SUITE 303,SAN ANTONIO,Ophthalmology,1355362.64,584920.42,439773.05
"FRIERSON, JOHN H",4125 MCCULLOUGH AVE ,SAN ANTONIO,Cardiology,1122068,561592.17,438113.5
"VADAKEKALAM, JACOB",5107 MEDICAL DR ,SAN ANTONIO,Endocrinology,1345550,537407.73,437023.57
"ENG, TONY Y",7979 WURZBACH RD STE G267 ,SAN ANTONIO,Radiation Oncology,1703497,539554.62,430708.64
"BERARDO, PETER V",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,1930748.76,540880.21,429589.16
"WEINSTEIN, MARK B",7950 FLOYD CURL DRIVE SUITE 909,SAN ANTONIO,Dermatology,889245,589828.5,424714.56
"SHAW, JEROD K",14800 SAN PEDRO AVE STE 202 ,SAN ANTONIO,Interventional Pain Management,2374806,527698.53,423335.53
"MOSBACKER, MATTHEW E",4511 HORIZON HILL BLVD SUITE 150,SAN ANTONIO,Rheumatology,1115267.01,538350.95,423124.99
"MAROUF, LINA M",9910 HUEBNER RD SUITE 100,SAN ANTONIO,Ophthalmology,1411049,542553.49,422226.87
"PEDERSON, DAVID N",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiac Electrophysiology,1581060,553721.95,421560.16
"STRATTON, BRIK A",8610 BROADWAY ST SUITE 280,SAN ANTONIO,Physical Therapist,1012806,532806.75,419673.55
"FISHER, THOMAS D","4025 E SOUTHCROSS BLVD BUILDING #5, SUITE #30",SAN ANTONIO,Hematology/Oncology,2044211,530473.56,419499.13
"PAMAR, VIJAYVEER S",5107 MEDICAL DR ,SAN ANTONIO,Endocrinology,1257416,505394.31,419148.5
"BRODRICK, CHARLES D",303 E QUINCY ST SUITE 100,SAN ANTONIO,Ophthalmology,1970668,542733.92,418341.81
"SIOCO, GERALDO M",9465 HUEBNER RD ,SAN ANTONIO,Cardiology,592707.3,552795.38,416030.83
"WELLFORD, ARMISTEAD L",1933 NE LOOP 410 ,SAN ANTONIO,Cardiology,2255253.11,512413.79,415943.81
"REYES ALMODOVAR, RAMON G",7579 N LOOP 1604 W SUITE 100,SAN ANTONIO,Family Practice,1202903.66,521639.88,415942.76
"LATONI, DIMITRI E",7400 MENTOR MINTER BLVD. ,SAN ANTONIO,General Practice,1463406.5,519300.4,414179.83
"HUFF, JOHN P",14615 SAN PEDRO STE 105,SAN ANTONIO,Internal Medicine,1123739.57,529064.96,413120.38
"KOPPES, GERALD M",1303 MCCULLOUGH AVE SUITE 300,SAN ANTONIO,Cardiology,1612281.6,552914.69,412812.63
"SHANER, MAURICE E",538 WEST WOODLAWN ,SAN ANTONIO,Ambulance Service Supplier,1106742.02,515677.11,412425.09
"DALRYMPLE, MONICA A",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,916529,438940.79,408829
"BIEDIGER, DAVID S",1123 NORTH MAIN SUITE 211,SAN ANTONIO,Physical Therapist,921067,525588.36,408785.81
"MIRKOVIC, NENA",12705 TOEPPERWEIN RD ,LIVE OAK,Radiation Oncology,2717190,509583.53,407385.97
"STARCK, TOMY",6818 HEUERMANN ROAD ,SAN ANTONIO,Ophthalmology,819029,532930.72,405452.98
"HIRSCH, DAVID M",5282 MEDICAL DR STE 200,SAN ANTONIO,Pain Management,1744833.29,521998.9,402789.8
"SCHENK, DAVID A",7950 FLOYD CURL DR STE 620,SAN ANTONIO,Critical Care (Intensivists),689785.16,513530.95,402697.37
