"provider_id","Hospital","City","County","Heart Attack Mortality Rate","Heart Attack Mortality Versus National Rate","Heart Attack Readmission Rate","Heart Attack Readmission Rate Versus National Rate","Heart Failure Mortality Rate","Heart Failure Mortality Versus National Rate","Heart Failure Readmission Rate","Heart Failure Readmission Rate Versus National Rate"
"450058","BAPTIST MEDICAL CENTER","SAN ANTONIO","BEXAR","15.5","No Different","16.9","No Different","9.8","Better","21.7","No Different"
"450064","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","ARLINGTON","TARRANT","16.5","No Different","19.2","No Different","11.2","No Different","22.7","No Different"
"450068","MEMORIAL HERMANN TEXAS MEDICAL CENTER","HOUSTON","HARRIS","17.3","No Different","17.9","No Different","11.5","No Different","20.6","No Different"
"450072","BRAZOSPORT REGIONAL HEALTH SYSTEM","LAKE JACKSON","BRAZORIA","14.2","No Different","18.1","No Different","12.3","No Different","22.0","No Different"
"450073","COGDELL MEMORIAL HOSPITAL","SNYDER","SCURRY","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.1","No Different","22.9","No Different"
"450078","ANSON GENERAL HOSPITAL","ANSON","JONES","Not Available","Number of Cases Too Small","Not Available","Not Available","12.0","No Different","23.9","No Different"
"450079","BAYLOR MEDICAL CENTER AT IRVING","IRVING","DALLAS","16.4","No Different","18.7","No Different","10.7","No Different","24.7","No Different"
"450080","TITUS REGIONAL MEDICAL CENTER","MOUNT PLEASANT","TITUS","15.2","No Different","Not Available","Number of Cases Too Small","9.8","No Different","22.9","No Different"
"450082","CHRISTUS SPOHN HOSPITAL BEEVILLE","BEEVILLE","BEE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","13.1","No Different","23.0","No Different"
"450083","EAST TEXAS MEDICAL CENTER","TYLER","SMITH","15.6","No Different","19.0","No Different","9.6","No Different","22.1","No Different"
"450085","GRAHAM REGIONAL MEDICAL CENTER","GRAHAM","YOUNG","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.3","No Different","22.6","No Different"
"450087","NORTH HILLS HOSPITAL","NORTH RICHLAND HILLS","TARRANT","19.0","Worse","17.1","No Different","10.9","No Different","21.5","No Different"
"450090","NORTH TEXAS MEDICAL CENTER","GAINESVILLE","COOKE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","22.7","No Different"
"450092","FORT DUNCAN MEDICAL CENTER","EAGLE PASS","MAVERICK","14.0","No Different","17.7","No Different","7.6","Better","21.4","No Different"
"450097","BAYSHORE MEDICAL CENTER","PASADENA","HARRIS","18.5","No Different","19.6","No Different","12.1","No Different","22.7","No Different"
"450099","PAMPA REGIONAL MEDICAL CENTER","PAMPA","GRAY","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.1","No Different","23.4","No Different"
"450101","HILLCREST BAPTIST MEDICAL CENTER","WACO","MCLENNAN","15.2","No Different","17.8","No Different","12.0","No Different","22.2","No Different"
"450102","MOTHER FRANCES HOSPITAL","TYLER","SMITH","14.0","No Different","16.3","No Different","11.0","No Different","21.6","No Different"
"450104","GUADALUPE REGIONAL MEDICAL CENTER","SEGUIN","GUADALUPE","14.8","No Different","18.0","No Different","12.3","No Different","21.9","No Different"
"450107","LAS PALMAS MEDICAL CENTER","EL PASO","EL PASO","16.3","No Different","18.2","No Different","12.3","No Different","22.1","No Different"
"450108","CONNALLY MEMORIAL MEDICAL CENTER","FLORESVILLE","WILSON","14.3","No Different","Not Available","Number of Cases Too Small","11.3","No Different","21.7","No Different"
"450119","SOUTH TEXAS HEALTH SYSTEM","EDINBURG","HIDALGO","15.3","No Different","19.2","No Different","8.9","Better","22.1","No Different"
"450124","UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","AUSTIN","TRAVIS","15.0","No Different","17.9","No Different","9.9","No Different","24.2","No Different"
"450128","KNAPP MEDICAL CENTER","WESLACO","HIDALGO","15.3","No Different","18.6","No Different","11.3","No Different","25.0","No Different"
"450130","NIX HEALTH CARE SYSTEM","SAN ANTONIO","BEXAR","13.9","No Different","18.0","No Different","10.0","No Different","22.9","No Different"
"450132","MEDICAL CENTER HOSPITAL","ODESSA","ECTOR","16.6","No Different","18.7","No Different","14.2","No Different","23.0","No Different"
"450133","MIDLAND MEMORIAL HOSPITAL","MIDLAND","MIDLAND","15.0","No Different","16.2","No Different","11.1","No Different","23.1","No Different"
"450135","TEXAS HEALTH HARRIS METHODIST FORT WORTH","FORT WORTH","TARRANT","14.3","No Different","20.2","No Different","14.3","Worse","21.1","No Different"
"450137","BAYLOR ALL SAINTS MEDICAL CENTER AT FW","FORT WORTH","TARRANT","14.5","No Different","17.3","No Different","9.5","No Different","17.8","Better"
"450143","SETON SMITHVILLE REGIONAL HOSPITAL","SMITHVILLE","BASTROP","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.8","No Different","21.0","No Different"
"450144","PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","ANDREWS","ANDREWS","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.7","No Different","22.6","No Different"
"450147","DETAR HOSPITAL NAVARRO","VICTORIA","VICTORIA","15.4","No Different","17.2","No Different","10.0","No Different","24.4","No Different"
"450148","TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","CLEBURNE","JOHNSON","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.6","No Different","22.4","No Different"
"450152","METROPLEX HOSPITAL","KILLEEN","BELL","13.6","No Different","18.3","No Different","10.2","No Different","23.9","No Different"
"450154","VAL VERDE REGIONAL MEDICAL CENTER","DEL RIO","VAL VERDE","15.0","No Different","Not Available","Number of Cases Too Small","11.9","No Different","24.4","No Different"
"450155","HEREFORD REGIONAL MEDICAL CENTER","HEREFORD","DEAF SMITH","Not Available","Not Available","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small"
"450162","GRACE MEDICAL CENTER","LUBBOCK","LUBBOCK","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","22.6","No Different"
"450163","CHRISTUS SPOHN HOSPITAL KLEBERG","KINGSVILLE","KLEBERG","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.7","No Different","23.1","No Different"
"450165","SOUTH TEXAS REGIONAL MEDICAL CENTER","JOURDANTON","ATASCOSA","14.6","No Different","17.8","No Different","12.2","No Different","23.7","No Different"
"450176","MISSION REGIONAL MEDICAL CENTER","MISSION","HIDALGO","14.0","No Different","19.2","No Different","9.6","No Different","24.3","No Different"
"450177","UVALDE MEMORIAL HOSPITAL","UVALDE","UVALDE","14.8","No Different","Not Available","Number of Cases Too Small","11.6","No Different","26.3","No Different"
"450178","PECOS COUNTY MEMORIAL HOSPITAL","FORT STOCKTON","PECOS","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.7","No Different","22.2","No Different"
"450184","MEMORIAL HERMANN HOSPITAL SYSTEM","HOUSTON","HARRIS","15.9","No Different","16.3","No Different","10.7","No Different","20.9","Better"
"450187","SCOTT & WHITE HOSPITAL BRENHAM","BRENHAM","WASHINGTON","18.0","No Different","18.5","No Different","10.8","No Different","21.0","No Different"
"450188","ETMC CLARKSVILLE","CLARKSVILLE","RED RIVER","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.0","No Different","25.6","No Different"
"450192","HILL REGIONAL HOSPITAL","HILLSBORO","HILL","14.4","No Different","Not Available","Number of Cases Too Small","12.2","No Different","22.7","No Different"
"450193","ST LUKES EPISCOPAL HOSPITAL","HOUSTON","HARRIS","14.6","No Different","15.7","Better","10.4","No Different","22.5","No Different"
"450194","EAST TEXAS MEDICAL CENTER JACKSONVILLE","JACKSONVILLE","CHEROKEE","17.3","No Different","Not Available","Number of Cases Too Small","11.7","No Different","26.7","No Different"
"450196","PARIS REGIONAL MEDICAL CENTER","PARIS","LAMAR","15.8","No Different","17.1","No Different","12.1","No Different","23.8","No Different"
"450200","WADLEY REGIONAL MEDICAL CENTER","TEXARKANA","BOWIE","18.8","No Different","19.5","No Different","11.6","No Different","22.7","No Different"
"450203","WEATHERFORD REGIONAL MEDICAL CENTER","WEATHERFORD","PARKER","16.0","No Different","18.6","No Different","10.3","No Different","23.1","No Different"
"450209","NORTHWEST TEXAS HOSPITAL","AMARILLO","POTTER","17.1","No Different","17.2","No Different","12.6","No Different","20.0","No Different"
"450210","ETMC CARTHAGE","CARTHAGE","PANOLA","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","15.4","No Different","24.7","No Different"
"450211","MEMORIAL MEDICAL CENTER OF EAST TEXAS","LUFKIN","ANGELINA","15.3","No Different","16.6","No Different","12.1","No Different","24.3","No Different"
"450213","UNIVERSITY HEALTH SYSTEM","SAN ANTONIO","BEXAR","15.8","No Different","17.0","No Different","10.1","No Different","24.8","No Different"
"450214","GULF COAST MEDICAL CENTER","WHARTON","WHARTON","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.5","No Different","23.2","No Different"
"450219","SCOTT & WHITE HOSPITAL-LLANO","LLANO","LLANO","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","22.4","No Different"
"450221","MOORE COUNTY HOSPITAL DISTRICT","DUMAS","MOORE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","9.9","No Different","23.2","No Different"
"450222","CONROE REGIONAL MEDICAL CENTER","CONROE","MONTGOMERY","16.6","No Different","20.1","No Different","11.4","No Different","24.2","No Different"
"450229","HENDRICK MEDICAL CENTER","ABILENE","TAYLOR","15.6","No Different","16.4","No Different","15.5","Worse","20.3","No Different"
"450231","BAPTIST ST ANTHONY'S HOSPITAL","AMARILLO","POTTER","12.3","Better","17.6","No Different","11.6","No Different","17.7","Better"
"450235","MEMORIAL HOSPITAL","GONZALES","GONZALES","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.6","No Different","23.0","No Different"
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","SULPHUR SPRINGS","HOPKINS","15.0","No Different","16.7","No Different","16.9","Worse","21.1","No Different"
"450237","CHRISTUS SANTA ROSA HOSPITAL","SAN ANTONIO","BEXAR","14.3","No Different","16.5","No Different","13.6","No Different","20.5","Better"
"450241","FAITH COMMUNITY HOSPITAL","JACKSBORO","JACK","Not Available","Number of Cases Too Small","18.9","No Different","10.5","No Different","23.5","No Different"
"450243","HAMLIN MEMORIAL HOSPITAL","HAMLIN","JONES","Not Available","Not Available","Not Available","Not Available","10.8","No Different","21.7","No Different"
"450253","BELLVILLE GENERAL HOSPITAL","BELLVILLE","AUSTIN","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","14.2","No Different","25.1","No Different"
"450270","LAKE WHITNEY MEDICAL CENTER","WHITNEY","HILL","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.5","No Different","24.3","No Different"
"450271","WISE REGIONAL HEALTH SYSTEM","DECATUR","WISE","16.0","No Different","17.8","No Different","11.8","No Different","24.5","No Different"
"450272","CENTRAL TEXAS MEDICAL CENTER","SAN MARCOS","HAYS","14.7","No Different","17.5","No Different","13.0","No Different","22.4","No Different"
"450280","BAYLOR MEDICAL CENTER AT GARLAND","GARLAND","DALLAS","15.5","No Different","17.3","No Different","11.6","No Different","19.4","Better"
"450289","HARRIS HEALTH SYSTEM","HOUSTON","HARRIS","14.3","No Different","19.7","No Different","10.9","No Different","22.8","No Different"
"450292","TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN","KAUFMAN","KAUFMAN","15.8","No Different","Not Available","Number of Cases Too Small","13.5","No Different","22.4","No Different"
"450293","FRIO REGIONAL HOSPITAL","PEARSALL","FRIO","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.1","No Different","22.3","No Different"
"450296","CLEVELAND REGIONAL MEDICAL CTR","CLEVELAND","LIBERTY","15.4","No Different","Not Available","Number of Cases Too Small","9.5","No Different","25.4","No Different"
"450299","COLLEGE STATION MEDICAL CENTER","COLLEGE STATION","BRAZOS","15.9","No Different","18.0","No Different","13.1","No Different","20.7","No Different"
"450306","STAMFORD MEMORIAL HOSPITAL","STAMFORD","JONES","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.9","No Different","24.6","No Different"
"450324","TEXOMA MEDICAL CENTER","DENISON","GRAYSON","17.1","No Different","18.9","No Different","11.9","No Different","20.7","No Different"
"450330","OAKBEND MEDICAL CENTER","RICHMOND","FORT BEND","14.8","No Different","18.0","No Different","12.3","No Different","23.1","No Different"
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","SAN ANGELO","TOM GREEN","15.8","No Different","18.7","No Different","10.5","No Different","21.5","No Different"
"450346","BAPTIST BEAUMONT HOSPITAL","BEAUMONT","JEFFERSON","15.3","No Different","19.5","No Different","11.3","No Different","24.6","No Different"
"450347","HUNTSVILLE MEMORIAL HOSPITAL","HUNTSVILLE","WALKER","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","14.9","No Different","22.9","No Different"
"450348","FALLS COMMUNITY HOSPITAL AND CLINIC","MARLIN","FALLS","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","25.5","No Different"
"450351","TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL","STEPHENVILLE","ERATH","15.5","No Different","17.7","No Different","10.3","No Different","21.1","No Different"
"450352","HUNT REGIONAL MEDICAL CENTER","GREENVILLE","HUNT","15.3","No Different","19.8","No Different","14.6","No Different","23.1","No Different"
"450358","METHODIST HOSPITAL,THE","HOUSTON","HARRIS","13.1","No Different","17.4","No Different","9.2","Better","20.2","Better"
"450369","CHILDRESS REGIONAL MEDICAL CENTER","CHILDRESS","CHILDRESS","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.6","No Different","24.6","No Different"
"450370","COLUMBUS COMMUNITY HOSPITAL","COLUMBUS","COLORADO","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.5","No Different","23.5","No Different"
"450372","BAYLOR MEDICAL CENTER AT WAXAHACHIE","WAXAHACHIE","ELLIS","15.0","No Different","Not Available","Number of Cases Too Small","13.0","No Different","21.7","No Different"
"450373","EAST TEXAS MEDICAL CENTER MOUNT VERNON","MOUNT VERNON","FRANKLIN","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.2","No Different","25.0","No Different"
"450379","DALLAS MEDICAL CENTER","DALLAS","DALLAS","14.1","No Different","18.1","No Different","10.1","No Different","23.5","No Different"
"450388","METHODIST HOSPITAL","SAN ANTONIO","BEXAR","16.9","No Different","17.8","No Different","10.8","No Different","21.2","Better"
"450389","EAST TEXAS MEDICAL CENTER ATHENS","ATHENS","HENDERSON","16.6","No Different","18.5","No Different","11.9","No Different","24.9","No Different"
"450395","MEMORIAL MEDICAL CENTER LIVINGSTON","LIVINGSTON","POLK","17.4","No Different","Not Available","Number of Cases Too Small","12.0","No Different","24.8","No Different"
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","BROWNFIELD","TERRY","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.7","No Different","22.2","No Different"
"450400","PARKVIEW REGIONAL HOSPITAL","MEXIA","LIMESTONE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.8","No Different","26.0","No Different"
"450403","MEDICAL CENTER OF MCKINNEY","MCKINNEY","COLLIN","17.7","No Different","17.2","No Different","12.4","No Different","24.4","No Different"
"450411","EASTLAND MEMORIAL HOSPITAL","EASTLAND","EASTLAND","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","13.6","No Different","22.8","No Different"
"450419","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","AZLE","TARRANT","14.0","No Different","Not Available","Number of Cases Too Small","12.1","No Different","20.5","No Different"
"450422","BAYLOR MEDICAL CENTER AT UPTOWN","DALLAS","DALLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450424","SAN JACINTO METHODIST HOSPITAL","BAYTOWN","HARRIS","14.9","No Different","17.2","No Different","11.9","No Different","21.0","No Different"
"450431","ST DAVID'S MEDICAL CENTER","AUSTIN","TRAVIS","13.2","No Different","16.3","No Different","12.1","No Different","21.5","No Different"
"450446","RIVERSIDE GENERAL HOSPITAL","HOUSTON","HARRIS","Not Available","Not Available","Not Available","Not Available","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small"
"450447","NAVARRO REGIONAL HOSPITAL","CORSICANA","NAVARRO","15.5","No Different","19.1","No Different","13.0","No Different","25.5","No Different"
"450451","GLEN ROSE MEDICAL CENTER","GLEN ROSE","SOMERVELL","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.5","No Different","22.7","No Different"
"450460","TYLER COUNTY HOSPITAL","WOODVILLE","TYLER","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.7","No Different","24.7","No Different"
"450462","TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS","DALLAS","DALLAS","16.0","No Different","20.9","No Different","11.5","No Different","23.5","No Different"
"450465","MATAGORDA REGIONAL MEDICAL CENTER","BAY CITY","MATAGORDA","15.8","No Different","17.6","No Different","11.0","No Different","21.0","No Different"
"450469","TEXAS HEALTH PRESBYTERIAN HOSPITAL-WNJ","SHERMAN","GRAYSON","14.8","No Different","18.8","No Different","9.4","No Different","20.9","No Different"
"450475","ETMC HENDERSON","HENDERSON","RUSK","16.1","No Different","Not Available","Number of Cases Too Small","9.4","No Different","28.9","Worse"
"450484","WOODLAND HEIGHTS MEDICAL CENTER","LUFKIN","ANGELINA","14.5","No Different","17.8","No Different","11.4","No Different","21.1","No Different"
"450488","ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE","KILGORE","GREGG","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small"
"450489","MEDICAL ARTS HOSPITAL","LAMESA","DAWSON","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.6","No Different","21.8","No Different"
"450497","BOWIE MEMORIAL HOSPITAL","BOWIE","MONTAGUE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","14.3","No Different","25.6","No Different"
"450498","STEPHENS MEMORIAL HOSPITAL","BRECKENRIDGE","STEPHENS","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.8","No Different","22.7","No Different"
"450508","MEMORIAL HOSPITAL","NACOGDOCHES","NACOGDOCHES","16.3","No Different","17.3","No Different","13.1","No Different","23.3","No Different"
"450518","THE MEDICAL CENTER OF SOUTHEAST TEXAS","PORT ARTHUR","JEFFERSON","14.4","No Different","17.4","No Different","11.5","No Different","21.9","No Different"
"450537","METHODIST RICHARDSON MEDICAL CENTER","RICHARDSON","DALLAS","15.5","No Different","18.1","No Different","11.9","No Different","22.4","No Different"
"450539","COVENANT HOSPITAL PLAINVIEW","PLAINVIEW","HALE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","13.0","No Different","21.2","No Different"
"450558","ABILENE REGIONAL MEDICAL CENTER","ABILENE","TAYLOR","16.8","No Different","19.6","No Different","13.2","No Different","18.9","Better"
"450563","BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE","GRAPEVINE","TARRANT","14.4","No Different","19.0","No Different","11.2","No Different","21.0","No Different"
"450565","PALO PINTO GENERAL HOSPITAL","MINERAL WELLS","PALO PINTO","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","13.3","No Different","25.6","No Different"
"450571","SHANNON MEDICAL CENTER","SAN ANGELO","TOM GREEN","14.4","No Different","19.2","No Different","12.4","No Different","20.2","No Different"
"450573","CHRISTUS JASPER MEMORIAL HOSPITAL","JASPER","JASPER","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.7","No Different","21.5","No Different"
"450578","HEMPHILL COUNTY HOSPITAL","CANADIAN","HEMPHILL","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small"
"450580","EAST TEXAS MEDICAL CENTER CROCKETT","CROCKETT","HOUSTON","15.2","No Different","Not Available","Number of Cases Too Small","13.4","No Different","24.9","No Different"
"450584","WILBARGER GENERAL HOSPITAL","VERNON","WILBARGER","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","11.5","No Different","22.4","No Different"
"450586","SEYMOUR HOSPITAL","SEYMOUR","BAYLOR","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","10.4","No Different","22.0","No Different"
"450587","BROWNWOOD REGIONAL MEDICAL CENTER","BROWNWOOD","BROWN","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","22.3","No Different"
"450591","ANGLETON-DANBURY MEDICAL CENTER","ANGLETON","BRAZORIA","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","21.1","No Different"
"450596","LAKE GRANBURY MEDICAL CENTER","GRANBURY","HOOD","16.7","No Different","18.4","No Different","16.6","Worse","21.7","No Different"
"450597","CUERO COMMUNITY HOSPITAL","CUERO","DE WITT","16.1","No Different","18.6","No Different","13.0","No Different","24.6","No Different"
"450604","HILL COUNTRY MEMORIAL HOSPITAL INC","FREDERICKSBURG","GILLESPIE","15.3","No Different","17.1","No Different","11.9","No Different","20.7","No Different"
"450605","CARE REGIONAL MEDICAL CENTER","ARANSAS PASS","SAN PATRICIO","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","9.3","No Different","20.3","No Different"
"45060F","VA AMARILLO HEALTHCARE SYSTEM","AMARILLO","POTTER","16.6","No Different","17.3","No Different","11.2","No Different","22.9","No Different"
"450610","MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","HOUSTON","HARRIS","15.5","No Different","15.5","No Different","11.1","No Different","19.5","Better"
"450617","CLEAR LAKE REGIONAL MEDICAL CENTER","WEBSTER","HARRIS","13.0","No Different","17.6","No Different","10.7","No Different","22.9","No Different"
"450620","DIMMIT REGIONAL HOSPITAL","CARRIZO SPRINGS","DIMMIT","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.4","No Different","24.6","No Different"
"450634","DENTON REGIONAL MEDICAL CENTER","DENTON","DENTON","17.4","No Different","17.7","No Different","11.6","No Different","24.6","No Different"
"450638","HOUSTON NORTHWEST MEDICAL CENTER","HOUSTON","HARRIS","13.8","No Different","17.8","No Different","9.4","No Different","21.9","No Different"
"450639","TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD","BEDFORD","TARRANT","16.0","No Different","18.8","No Different","11.8","No Different","23.3","No Different"
"45063F","VA WEST TEXAS HEALTHCARE SYSTEM","BIG SPRING","HOWARD","Not Available","Not Available","Not Available","Not Available","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small"
"450641","NOCONA GENERAL HOSPITAL","NOCONA","MONTAGUE","Not Available","Number of Cases Too Small","Not Available","Number of Cases Too Small","12.2","No Different","21.6","No Different"
"450643","DOCTORS HOSPITAL OF LAREDO","LAREDO","WEBB","15.5","No Different","17.7","No Different","10.1","No Different","25.1","No Different"
"450644","WEST HOUSTON MEDICAL CENTER","HOUSTON","HARRIS","16.6","No Different","17.4","No Different","10.2","No Different","21.0","No Different"
"450647","MEDICAL CITY DALLAS HOSPITAL","DALLAS","DALLAS","16.2","No Different","18.3","No Different","12.3","No Different","21.5","No Different"
